latitude,longitude,datetime
71.6775,-148.63139,2021-03-21 00:40:27
71.67751,-148.63205,2021-03-21 00:50:25
71.67749,-148.63271,2021-03-21 01:00:26
71.67748,-148.63339,2021-03-21 01:10:25
71.67748,-148.63403,2021-03-21 01:20:24
71.67748,-148.63475,2021-03-21 01:30:25
71.67749,-148.63547,2021-03-21 01:40:26
71.67751,-148.63612,2021-03-21 01:50:25
71.67752,-148.63689,2021-03-21 02:00:54
71.67754,-148.63756,2021-03-21 02:10:26
71.67756,-148.63829,2021-03-21 02:20:25
71.67759,-148.63899,2021-03-21 02:30:25
71.67763,-148.63969,2021-03-21 02:40:25
71.67767,-148.64037,2021-03-21 02:50:25
71.67772,-148.64102,2021-03-21 03:00:24
71.67776,-148.64168,2021-03-21 03:10:25
71.67781,-148.64233,2021-03-21 03:20:25
71.67786,-148.64302,2021-03-21 03:30:25
71.67791,-148.64368,2021-03-21 03:40:24
71.67796,-148.64433,2021-03-21 03:50:25
71.67804,-148.645,2021-03-21 04:00:26
71.67804,-148.64572,2021-03-21 04:10:25
71.67808,-148.64644,2021-03-21 04:20:25
71.67811,-148.64717,2021-03-21 04:30:24
71.67816,-148.64796,2021-03-21 04:40:55
71.67821,-148.64867,2021-03-21 04:50:26
71.67825,-148.64946,2021-03-21 05:00:27
71.67831,-148.65024,2021-03-21 05:10:26
71.67837,-148.65102,2021-03-21 05:20:26
71.67842,-148.65184,2021-03-21 05:30:26
71.67847,-148.65268,2021-03-21 05:40:26
71.67853,-148.65355,2021-03-21 05:50:26
71.67858,-148.65446,2021-03-21 06:00:25
71.67862,-148.65535,2021-03-21 06:10:26
71.67868,-148.65625,2021-03-21 06:20:26
71.67873,-148.6572,2021-03-21 06:30:26
71.67879,-148.65814,2021-03-21 06:40:26
71.67884,-148.65907,2021-03-21 06:50:26
71.67891,-148.66003,2021-03-21 07:00:25
71.67898,-148.66104,2021-03-21 07:10:25
71.67903,-148.66206,2021-03-21 07:20:24
71.67908,-148.6631,2021-03-21 07:30:24
71.67912,-148.66414,2021-03-21 07:40:25
71.67917,-148.66515,2021-03-21 07:50:25
71.67922,-148.66624,2021-03-21 08:00:54
71.67928,-148.66724,2021-03-21 08:10:26
71.67933,-148.66824,2021-03-21 08:20:25
71.67937,-148.66924,2021-03-21 08:30:25
71.67943,-148.67024,2021-03-21 08:40:25
71.67946,-148.67125,2021-03-21 08:50:24
71.67948,-148.67227,2021-03-21 09:00:25
71.67951,-148.67332,2021-03-21 09:10:25
71.67954,-148.67439,2021-03-21 09:20:25
71.67959,-148.67552,2021-03-21 09:30:25
71.67962,-148.67668,2021-03-21 09:40:24
71.67968,-148.67786,2021-03-21 09:50:25
71.67974,-148.67902,2021-03-21 10:00:25
71.67981,-148.68021,2021-03-21 10:10:26
71.6799,-148.68135,2021-03-21 10:20:26
71.67999,-148.68253,2021-03-21 10:30:26
71.68006,-148.68372,2021-03-21 10:40:26
71.68015,-148.68494,2021-03-21 10:50:55
71.68023,-148.68602,2021-03-21 11:00:26
71.68032,-148.68716,2021-03-21 11:10:26
71.6804,-148.68828,2021-03-21 11:20:25
71.68049,-148.68939,2021-03-21 11:30:26
71.68057,-148.69051,2021-03-21 11:40:26
71.68063,-148.69165,2021-03-21 11:50:26
71.68069,-148.69275,2021-03-21 12:00:26
71.68075,-148.69386,2021-03-21 12:10:26
71.68083,-148.69504,2021-03-21 12:20:25
71.68089,-148.69623,2021-03-21 12:30:24
71.68095,-148.69745,2021-03-21 12:40:24
71.68102,-148.69865,2021-03-21 12:50:25
71.68107,-148.69986,2021-03-21 13:00:26
71.68113,-148.7011,2021-03-21 13:10:25
71.68118,-148.70233,2021-03-21 13:20:25
71.68124,-148.70357,2021-03-21 13:30:25
71.68128,-148.70486,2021-03-21 13:40:25
71.68132,-148.7063,2021-03-21 13:50:24
71.68136,-148.70764,2021-03-21 14:00:54
71.68138,-148.70889,2021-03-21 14:10:26
71.68143,-148.71027,2021-03-21 14:20:25
71.68147,-148.71165,2021-03-21 14:30:25
71.68151,-148.71304,2021-03-21 14:40:25
71.68155,-148.71451,2021-03-21 14:50:25
71.68158,-148.716,2021-03-21 15:00:25
71.68162,-148.7175,2021-03-21 15:10:26
71.68166,-148.71904,2021-03-21 15:20:28
71.68173,-148.72055,2021-03-21 15:30:26
71.68179,-148.72211,2021-03-21 15:40:26
71.68186,-148.72371,2021-03-21 15:50:26
71.68192,-148.72537,2021-03-21 16:00:26
71.68198,-148.72705,2021-03-21 16:10:25
71.68206,-148.72884,2021-03-21 16:20:25
71.68212,-148.73068,2021-03-21 16:30:26
71.68218,-148.73257,2021-03-21 16:40:26
71.68224,-148.73451,2021-03-21 16:50:26
71.68233,-148.73648,2021-03-21 17:00:54
71.68241,-148.73836,2021-03-21 17:10:26
71.68251,-148.74045,2021-03-21 17:20:25
71.6826,-148.74252,2021-03-21 17:30:24
71.68271,-148.74466,2021-03-21 17:40:25
71.68283,-148.74678,2021-03-21 17:50:25
71.68296,-148.74887,2021-03-21 18:00:25
71.68311,-148.75099,2021-03-21 18:10:25
71.68325,-148.75314,2021-03-21 18:20:25
71.68343,-148.75534,2021-03-21 18:30:25
71.68359,-148.75757,2021-03-21 18:40:25
71.68376,-148.75992,2021-03-21 18:50:25
71.68394,-148.76241,2021-03-21 19:00:25
71.68414,-148.76494,2021-03-21 19:10:25
71.68437,-148.76743,2021-03-21 19:20:25
71.68456,-148.76993,2021-03-21 19:30:25
71.68478,-148.7726,2021-03-21 19:40:54
71.685,-148.77499,2021-03-21 19:50:26
71.68523,-148.77744,2021-03-21 20:00:25
71.68548,-148.77992,2021-03-21 20:10:26
71.68571,-148.78249,2021-03-21 20:20:26
71.68597,-148.78503,2021-03-21 20:30:26
71.68622,-148.78758,2021-03-21 20:40:26
71.68645,-148.79016,2021-03-21 20:50:26
71.68667,-148.79283,2021-03-21 21:00:26
71.68691,-148.79556,2021-03-21 21:10:26
71.68716,-148.79842,2021-03-21 21:20:26
71.6874,-148.80116,2021-03-21 21:30:25
71.68765,-148.80394,2021-03-21 21:40:26
71.6879,-148.80679,2021-03-21 21:50:26
71.68817,-148.80977,2021-03-21 22:00:54
71.6884,-148.81247,2021-03-21 22:10:26
71.68867,-148.81535,2021-03-21 22:20:26
71.68893,-148.81824,2021-03-21 22:30:25
71.6892,-148.8213,2021-03-21 22:40:25
71.68947,-148.82449,2021-03-21 22:50:25
71.68974,-148.82774,2021-03-21 23:00:24
71.69001,-148.83102,2021-03-21 23:10:25
71.6903,-148.83435,2021-03-21 23:20:25
71.69054,-148.83752,2021-03-21 23:30:25
71.69078,-148.84055,2021-03-21 23:40:24
71.69107,-148.84363,2021-03-21 23:50:26
71.69133,-148.84666,2021-03-22 00:00:25
71.69159,-148.84973,2021-03-22 00:10:26
71.69183,-148.85284,2021-03-22 00:20:25
71.6921,-148.85608,2021-03-22 00:30:24
71.69244,-148.85951,2021-03-22 00:40:24
71.69272,-148.86269,2021-03-22 00:50:25
71.69302,-148.86607,2021-03-22 01:00:54
71.69328,-148.86905,2021-03-22 01:10:26
71.69353,-148.87213,2021-03-22 01:20:25
71.6938,-148.87523,2021-03-22 01:30:25
71.69407,-148.87833,2021-03-22 01:40:25
71.69437,-148.88144,2021-03-22 01:50:25
