latitude,longitude,datetime
71.24139,-144.96924,2021-03-06 23:00:25
71.2416,-144.97252,2021-03-06 23:10:25
71.24181,-144.97578,2021-03-06 23:20:25
71.24202,-144.979,2021-03-06 23:30:25
71.24222,-144.98233,2021-03-06 23:40:25
71.24243,-144.98558,2021-03-06 23:50:25
71.24261,-144.9888,2021-03-07 00:00:26
71.24281,-144.99197,2021-03-07 00:10:27
71.24302,-144.99513,2021-03-07 00:20:26
71.2432,-144.99828,2021-03-07 00:30:25
71.24339,-145.00143,2021-03-07 00:40:28
71.24357,-145.00453,2021-03-07 00:50:26
71.24376,-145.0076,2021-03-07 01:00:25
71.24393,-145.01064,2021-03-07 01:10:25
71.24409,-145.01366,2021-03-07 01:20:25
71.24431,-145.01683,2021-03-07 01:30:54
71.24448,-145.01967,2021-03-07 01:40:26
71.24465,-145.02261,2021-03-07 01:50:25
71.24483,-145.02551,2021-03-07 02:00:24
71.245,-145.02843,2021-03-07 02:10:24
71.24518,-145.03131,2021-03-07 02:20:26
71.24537,-145.03416,2021-03-07 02:30:25
71.24556,-145.03702,2021-03-07 02:40:25
71.24575,-145.03986,2021-03-07 02:50:25
71.24595,-145.04265,2021-03-07 03:00:25
71.24613,-145.04555,2021-03-07 03:10:25
71.24633,-145.0484,2021-03-07 03:20:25
71.24653,-145.05122,2021-03-07 03:30:25
71.24673,-145.05408,2021-03-07 03:40:26
71.24695,-145.05688,2021-03-07 03:50:26
71.24715,-145.05975,2021-03-07 04:00:54
71.24737,-145.06242,2021-03-07 04:10:26
71.24758,-145.06525,2021-03-07 04:20:26
71.2478,-145.06805,2021-03-07 04:30:26
71.24801,-145.07088,2021-03-07 04:40:26
71.24819,-145.07372,2021-03-07 04:50:27
71.24844,-145.07652,2021-03-07 05:00:26
71.24867,-145.07933,2021-03-07 05:10:26
71.2489,-145.08215,2021-03-07 05:20:26
71.2491,-145.0849,2021-03-07 05:30:28
71.24935,-145.08788,2021-03-07 05:40:27
71.24958,-145.0907,2021-03-07 05:50:27
71.24982,-145.0936,2021-03-07 06:00:32
