year,open_area,open_area_b80,open_extent_80,avg_sic
2003,5056.139705792339,3170.9324802553774,,97.7953254824779
2004,2554.202807696688,718.0454955375542,,98.88963405421522
2005,3405.834346002599,840.2953371642944,,98.5185450569528
2006,2496.2714446460654,538.8230043649309,,98.91363825563525
2007,5578.6694482061175,2611.905210002274,,97.57080053110592
2008,4893.661465109556,2808.653454739123,,97.8668794475618
2009,5267.837851129925,977.1362830308967,,97.7124752607502
2010,2857.3456643822115,536.4684118633037,,98.75810716972977
2011,2208.5977383117734,224.38294053287692,,99.03991824290792
2012,,,,
2013,4845.114826632844,1503.2320876139863,,97.89087289278625
2014,5014.305060969096,3191.7916838857072,,97.8118419959897
2015,8225.39557419882,3273.3204276181045,,96.4195704225634
2016,17450.562486533207,14460.70109585887,,92.37472784323771
2017,5383.032634677236,2304.091231347837,,97.65429912629675
2018,9199.740442861399,2883.046328669823,,96.0007531838339
2019,8456.581137926507,4185.442482117018,,96.24926570423862
2020,11983.183796536277,3213.6747387811733,,94.78703570756755
2021,4524.443022648389,2174.4224919831427,,98.0272975984167
2022,6417.123579631586,2144.2923417596817,,97.15974985758463
