,year,u,v,sp,open_sp,close_sp,num_open,num_close
0,2003,-1.8619414567947388,-0.4393481910228729,5.280484676361084,6.081024169921875,4.397131443023682,32.0,29.0
1,2004,-2.588547468185425,-1.0500844717025757,5.465092182159424,6.188409805297852,5.137877941131592,19.0,42.0
2,2005,-3.752595901489258,-1.0304052829742432,6.085508823394775,6.873962879180908,5.608286380767822,23.0,38.0
3,2006,-1.8631826639175415,-1.1438353061676025,5.205678462982178,7.611801624298096,4.616423606872559,12.0,49.0
4,2007,-2.1825668811798096,-0.30806463956832886,5.525000095367432,7.39495849609375,4.226417064666748,25.0,36.0
5,2008,-3.691711664199829,-0.7324915528297424,6.056258678436279,6.5471954345703125,5.611349105834961,29.0,32.0
6,2009,-2.959679126739502,-0.6852323412895203,5.802860736846924,7.66448974609375,4.752711772918701,22.0,39.0
7,2010,-2.531378984451294,-0.8549303412437439,5.245612621307373,6.272542953491211,4.532465934753418,25.0,36.0
8,2011,-0.36693528294563293,-0.16682349145412445,5.010517597198486,6.006009101867676,4.740905284881592,13.0,48.0
9,2012,-2.784209966659546,-1.5457570552825928,5.193320274353027,,,0.0,0.0
10,2013,-1.4338446855545044,-1.5837661027908325,6.4091267585754395,8.312557220458984,5.5480499267578125,19.0,42.0
11,2014,-2.1395719051361084,0.45792272686958313,5.0297770500183105,5.771450042724609,4.211379051208496,32.0,29.0
12,2015,-3.9307165145874023,-0.5469470620155334,6.562112331390381,7.201783180236816,5.505265235900879,38.0,23.0
13,2016,-6.6209516525268555,-1.1397262811660767,7.983466625213623,9.048003196716309,4.0528669357299805,48.0,13.0
14,2017,-0.1370411217212677,-0.10448683798313141,5.988092422485352,6.522939205169678,5.590778827667236,26.0,35.0
15,2018,-3.3378171920776367,-0.19846004247665405,6.118993759155273,6.713231563568115,3.9248812198638916,48.0,13.0
16,2019,-2.7558791637420654,-0.5607385039329529,5.958968639373779,6.335960388183594,4.515418529510498,47.0,11.0
17,2020,1.8414469957351685,0.5738224387168884,5.168738842010498,5.580854892730713,4.102084636688232,44.0,17.0
18,2021,-1.999466061592102,0.23119448125362396,5.259719371795654,6.525738716125488,4.254351615905762,27.0,34.0
19,2022,-1.9319021701812744,-0.5338401198387146,5.402372360229492,5.871725559234619,4.570339679718018,39.0,22.0
