,year,u,v,sp,open_sp,close_sp,num_open,num_close
0,2003,-2.558063507080078,-0.6380184292793274,5.504520893096924,6.727287769317627,4.411835193634033,42.0,47.0
1,2004,-2.698260545730591,-1.5065170526504517,5.656916618347168,6.842428684234619,5.2499494552612305,23.0,67.0
2,2005,-3.365128755569458,-1.0957084894180298,6.315321445465088,7.4453911781311035,5.848944187164307,26.0,63.0
3,2006,-1.516183614730835,-0.4599415063858032,5.561270713806152,7.511676788330078,4.518811225891113,31.0,58.0
4,2007,-2.1610891819000244,-0.15778465569019318,5.754701614379883,7.641138553619385,4.2832818031311035,39.0,50.0
5,2008,-2.8736298084259033,-0.7176461815834045,5.980751037597656,6.827868461608887,5.239522933959961,42.0,48.0
6,2009,-2.555661916732788,-0.4207693338394165,5.775592803955078,7.666170120239258,4.765112400054932,31.0,58.0
7,2010,-2.823152780532837,-1.1978890895843506,5.841731071472168,7.113983154296875,4.9396843910217285,33.0,54.0
8,2011,0.6017426252365112,0.019369203597307205,5.361057758331299,6.0972514152526855,5.119323253631592,22.0,67.0
9,2012,-2.9850430488586426,-1.369831919670105,5.2790117263793945,,,0.0,0.0
10,2013,-2.7210726737976074,-1.6810011863708496,6.4516825675964355,8.973657608032227,5.294054985046387,28.0,61.0
11,2014,-1.865750789642334,0.11474568396806717,5.134768962860107,6.066835880279541,4.373898029327393,40.0,49.0
12,2015,-2.663438320159912,-0.40372395515441895,6.462701320648193,7.045444488525391,5.7155938148498535,50.0,39.0
13,2016,-7.199184894561768,-1.0222822427749634,8.257567405700684,9.085107803344727,4.430193901062012,74.0,16.0
14,2017,0.21008673310279846,-0.36393091082572937,5.834834098815918,6.5621256828308105,5.3634419441223145,35.0,54.0
15,2018,-1.464343786239624,-0.3367866277694702,5.987974643707275,6.837265968322754,4.614121913909912,55.0,34.0
16,2019,-2.115558624267578,0.20957046747207642,5.798704147338867,6.178961753845215,4.219997406005859,70.0,16.0
17,2020,1.434736967086792,0.5190147161483765,4.814131259918213,5.615213871002197,4.013049125671387,45.0,45.0
18,2021,-1.0874791145324707,-0.30001071095466614,5.015244960784912,6.319166660308838,4.318321704864502,31.0,58.0
19,2022,-1.1654939651489258,-0.4101695418357849,5.518961429595947,6.2771172523498535,4.743574142456055,45.0,44.0
